PRODUCT,W/M,ONLINE/IN-PERSON,SKU,FIT ELEMENTS,DEXTERITY ELEMENTS,SENSORY ELEMENTS,VIABLE FOR...
HIGH WAISTED SLIM-FIT LEGGINGS,WB,Online (20/6/22),1026083002,high waisted leggings are cut for a slim fit and finish at the ankle ,Side zip ankle closure,"Sewn back pocket, 95% Cotton, 5% Elastane, inside leg length of size EU 36 is 66cm",
,,,,,,,
https://kw.cosstores.com/en/buy-longline-voile-tunic-orange.html,,,,"hidden buttons, flowy skirt",,,
https://kw.cosstores.com/en/shop-women/coats-jackets/,,,,,,,
https://kw.cosstores.com/en/buy-v-neck-wide-leg-jumpsuit-brown.html,,,,,,,
https://kw.cosstores.com/en/buy-oversized-kaftan-dress-black-0.html,,,no for wc,,,,
https://kw.cosstores.com/en/buy-ruffled-jumpsuit-black.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.tapered-leg-high-rise-jeans-blue.0969093011.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.straight-leg-high-rise-jeans-blue.1047340001.html,,,,,,,
https://www.cos.com/en/women/womenswear/jumpsuits/product.barrel-leg-dungarees-black.1045181001.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.relaxed-fit-barrel-leg-jeans-black.1079851002.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.relaxed-fit-denim-overshirt-black.1009006005.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.regular-fit-pointed-collar-shirt-blue.1040299004.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.regular-fit-grandad-collar-shirt-yellow.1057595004.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.relaxed-fit-utility-overshirt-green.1085380004.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.relaxed-fit-barrel-leg-jeans-blue.1079851001.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.relaxed-fit-straight-leg-jeans-black.0966300006.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.regular-fit-striped-poplin-shirt-blue.1063931001.html,,,,,,,
https://www.cos.com/en/men/menswear/trousers/product.denim-boilersuit-black.1071673001.html,,,,,,,
https://www.cos.com/en/men/menswear/suits/trousers/product.barrel-leg-tapered-chinos-green.1040305002.html,,,,,,,
https://www.cos.com/en/men/menswear/coats-and-jackets/product.zip-up-denim-jacket-blue.1052565001.html,,,,,,,
https://www.cos.com/en/men/menswear/coats-and-jackets/product.cropped-denim-jacket-black.1056872002.html,,,,,,,
https://www.cos.com/en/men/menswear/coats-and-jackets/product.cropped-denim-jacket-blue.1056872001.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.slim-fit-high-rise-flared-jeans-black.1071458002.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.relaxed-fit-corduroy-overshirt-orange.1005841003.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.checked-overshirt-blue.1011286002.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/product.zip-up-ribbed-knit-cardigan-black.1061262001.html,,,,,,,
https://www.cos.com/en/women/womenswear/skirts/product.semi-sheer-midi-pencil-skirt-black.1058126001.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/jumpers/product.spread-collar-wool-jumper-yellow.1041210003.html,,,,,,,
https://www.cos.com/en/women/womenswear/trousers/product.relaxed-fit-twill-trousers-turquoise.1073659001.html,,,,,,,
https://www.cos.com/en/women/womenswear/shorts/product.skinny-denim-shorts-black.0992934002.html,,,,,,,
https://www.cos.com/en/women/womenswear/trousers/product.slim-fit-wool-trousers-black.1016080002.html,,,,,,,
